date,OilShock,OilPrice,WorldOilProd,WorldOilInv,WorldIndProd,UsIndProd,UsCpi
198302,0,-7.5548255735,-5.7548655711,1.5109260534,-0.5815326187,-0.6299252616,0.1020929134
198303,0,-0.5520501348,1.8378068809,0.1065626265,0.7166814505,0.8147775437,0.1019887901
198304,0,5.3146924203,0.4385119825,0.9396120945,0.7013301222,1.1848958216,0.7110238183
198305,0,-2.4169780832,3.2812684381,-0.0373950529,0.336037038,0.6944610539,0.4040409537
198306,0,3.0775723451,0.3979695774,1.0809869521,0.6164731779,0.6006178423,0.2014099372
198307,0.1715977679,1.7050780313,3.3165412999,-0.7802972143,0.2725455708,1.5030375419,0.4016069655
198308,0,0.4863882834,-0.2803124771,3.7806162626,0.9626059553,1.0935760889,0.3001503004
198309,0,-2.8382650317,1.1927741271,2.220254174,1.0252792616,1.4856094743,0.2992520936
198310,0,-2.67339576,-0.4743144761,-0.2630945649,0.3733813267,0.8295174697,0.397614838
198311,0,-2.1893496743,0.6681094764,-0.551367373,0.7048909118,0.3531179645,0.2971770389
198312,-0.2195547534,-2.3275105585,-1.4673275562,1.9149805386,0.8138221444,0.5285590175,0.2962965131
198401,0,0.8393019881,0.2112289589,0.4964819851,0.8725485395,1.956760158,0.6879634014
198402,0,1.03235756,0.6411822631,-0.5339839031,0.5216232591,0.4517194649,0.4885207566
198403,0,1.7308871817,-0.5074964795,0.6334180064,-0.1670061564,0.4865590235,0.2919710103
198404,0,-0.8539315838,0.3635492907,1.2287614601,0.1554575478,0.6353287845,0.3879733286
198405,0,-0.5140101473,-0.6972090049,2.7099388441,1.2134970474,0.4648808955,0.193423658
198406,0,-2.0215932728,2.3178995711,0.6764931592,-0.5646899768,0.3644785067,0.193050253
198407,0.086130962,-4.5239306562,-1.3002669977,0.9026681451,1.1261127864,0.3159464791,0.3849860385
198408,0,1.4294543809,-3.0976229699,-0.6329555706,0.7447138561,0.0924436687,0.2877699828
198409,0,-0.0786143917,0.8569011613,-0.2567249091,-0.1496908159,-0.1801755912,0.2869442428
198410,1.0169967411,-2.261666188,0.7611260564,1.8618690151,0.2410827605,-0.1580760926,0.3813160006
198411,0,-2.5362112143,0.0313508127,0.8780016199,0.1457636604,0.3845301266,0.1901141257
198412,-1.368821169,-10.1705678178,-0.0738007209,1.4268504241,0.5611192034,0.1153368948,0.1897533776
198501,0.4937877633,0.6408437865,-2.3065579241,-0.9457382615,0.2361805421,-0.1697739119,0.189393996
198502,0,5.5970841195,2.7372302958,-1.1918904002,0.3121117141,0.353223685,0.5660392472
198503,0,3.015208089,0.401471579,1.6773776784,0.5158040885,0.1499416145,0.4692641178
198504,0,1.8009486661,-0.7824087124,1.4034112698,-0.3475974994,-0.269136831,0.1870907936
198505,0,-4.3767638332,-2.6853025159,2.5696176881,0.9100913913,0.1520638537,0.1867414175
198506,0,-2.0324171709,-2.8022796266,-0.8846370084,-0.0771611531,0.0591716516,0.2794598931
198507,-0.3141630972,0.4970486599,1.9845112042,-1.1060033701,0.0995347784,-0.6519332114,0.1858736595
198508,0,1.3612306598,-0.261965529,-0.0589122636,0.1633119725,0.4120272201,0.1855288102
198509,0,1.7205179986,3.5361343115,0.5561099167,0.1674717725,0.4330739072,0.1851852381
198510,-1.4171376975,3.951108516,3.0646941206,-1.4545933704,0.200733949,-0.4118357209,0.3693448335
198511,0,3.7661399599,0.8530543459,1.1613993645,0.5871022576,0.3363770591,0.4597709249
198512,-3.9452681759,-12.8267490293,0.558199751,0.5579009669,-0.1896859007,1.0474349625,0.4576667027
198601,0,-17.4792119892,-1.8698686609,0.908298185,0.5780723039,0.4529358406,0.3646312153
198602,0,-39.4187483832,0.0179903161,0.4313799223,-0.318483068,-0.6708170287,-0.1821494128
198603,0,-19.6482229496,-0.8985075685,1.5811191048,-0.1611277963,-0.6885557673,-0.5484474442
198604,0.4883557974,2.1659053813,0.1886909631,-0.5870430626,0.5972779906,0.0781681923,-0.3673098712
